species,eventDate,decimalLongitude,decimalLatitude
Bathylagus antarcticus,1961-02-11,178.73833,-63.09167
Bathylagus antarcticus,1964-03-13,20.2667,-44.4
Bathylagus antarcticus,1965-12-27,-120.08,-60.25
Bathylagus antarcticus,1965-12-27,-120.1,-60.2
Bathylagus antarcticus,1965-12-28,-120.25,-61.08
Bathylagus antarcticus,1965-12-28,-120.2,-61.1
Bathylagus antarcticus,1966-01-03,-85.283,-57.117
Bathylagus antarcticus,1966-01-03,-85.3,-57.1
Bathylagus antarcticus,1975-01-01,158.5,-59.45
Bathylagus antarcticus,1975-11-29,-54.91667,-59.85
Bathylagus antarcticus,1975-11-29,-54.9167,-59.85
Bathylagus antarcticus,1976-01-03,-40.03333,-54.2
Bathylagus antarcticus,1976-01-03,-40.0333,-54.2
Bathylagus antarcticus,1976-02-27,-26.93,-59.4317
Bathylagus antarcticus,1976-02-27,-26.93,-59.43167
Bathylagus antarcticus,1978-02-07,-53.2,-64
Bathylagus antarcticus,1978-02-07,-53.4267,-64
Bathylagus antarcticus,1979-02-22,20.34667,-58.87167
Bathylagus antarcticus,1979-02-22,20.35167,-58.90667
Bathylagus antarcticus,1979-03-23,21.94333,-55.58667
Bathylagus antarcticus,1981-01-24,71.6267,-66.4033
Bathylagus antarcticus,1981-01-30,63.3067,-66.2067
Bathylagus antarcticus,1981-02-18,78.725,-64.3033
Bathylagus antarcticus,1981-03-15,99.89,-55.025
Bathylagus antarcticus,1982-12-16,74.6883,-66.7733
Bathylagus antarcticus,1982-12-16,74.9283,-67.0317
Bathylagus antarcticus,1984-01-19,59.06,-66.4783
Bathylagus antarcticus,1984-02-02,42.36667,-42.64167
Bathylagus antarcticus,1985-01-01,81.917,-59.333
Bathylagus antarcticus,1985-01-01,81.717,-59.333
Bathylagus antarcticus,1985-01-01,79.85,-59.35
Bathylagus antarcticus,1985-01-01,80.133,-65.067
Bathylagus antarcticus,1985-01-01,77.083,-66.15
Bathylagus antarcticus,1985-01-01,72.45,-66.583
Bathylagus antarcticus,1985-01-01,70.733,-63.983
Bathylagus antarcticus,1985-01-01,77.5,-62.983
Bathylagus antarcticus,1985-01-01,73.117,-63.067
Bathylagus antarcticus,1985-01-01,77.533,-60.967
Bathylagus antarcticus,1985-01-01,68.317,-61.033
Bathylagus antarcticus,1985-01-04,57.9167,-60.055
Bathylagus antarcticus,1985-01-04,57.975,-61.0183
Bathylagus antarcticus,1985-01-04,57.91667,-60.055
Bathylagus antarcticus,1985-01-04,58.01167,-63.015
Bathylagus antarcticus,1985-01-05,58.0117,-63.015
Bathylagus antarcticus,1985-01-05,57.9933,-65.0167
Bathylagus antarcticus,1985-01-05,57.9733,-63.9933
Bathylagus antarcticus,1985-01-05,58.01,-66.01333
Bathylagus antarcticus,1985-01-05,57.99333,-65.01667
Bathylagus antarcticus,1985-01-05,57.99,-66.01333
Bathylagus antarcticus,1985-01-05,57.97333,-63.99333
Bathylagus antarcticus,1985-01-06,58.01,-66.0133
Bathylagus antarcticus,1985-01-06,57.99,-66.0133
Bathylagus antarcticus,1985-01-06,62.93833,-65.99167
Bathylagus antarcticus,1985-01-06,62.985,-65.98833
Bathylagus antarcticus,1985-01-07,62.9833,-63.9883
Bathylagus antarcticus,1985-01-07,62.985,-65.9883
Bathylagus antarcticus,1985-01-07,62.9283,-65.0017
Bathylagus antarcticus,1985-01-07,62.9383,-65.9917
Bathylagus antarcticus,1985-01-07,62.99333,-62.98167
Bathylagus antarcticus,1985-01-07,62.92833,-65.00167
Bathylagus antarcticus,1985-01-07,62.98333,-63.98833
Bathylagus antarcticus,1985-01-08,62.9933,-62.9983
Bathylagus antarcticus,1985-01-09,67.9683,-60.0033
Bathylagus antarcticus,1985-01-09,68.01167,-62.01833
Bathylagus antarcticus,1985-01-09,67.96833,-60.00333
Bathylagus antarcticus,1985-01-10,67.9567,-63.0133
Bathylagus antarcticus,1985-01-10,68.0033,-64.01
Bathylagus antarcticus,1985-01-10,67.9733,-63.0033
Bathylagus antarcticus,1985-01-10,68.0117,-62.0183
Bathylagus antarcticus,1985-01-10,67.97333,-63.00333
Bathylagus antarcticus,1985-01-10,68.00333,-64.01
Bathylagus antarcticus,1985-01-10,67.94333,-66.01333
Bathylagus antarcticus,1985-01-10,67.95667,-63.01333
Bathylagus antarcticus,1985-01-11,67.9767,-66.0133
Bathylagus antarcticus,1985-01-11,67.9433,-66.0133
Bathylagus antarcticus,1985-01-11,67.97667,-66.01333
Bathylagus antarcticus,1985-01-15,72.9117,-66.015
Bathylagus antarcticus,1985-01-16,73.0033,-62.9967
Bathylagus antarcticus,1985-01-16,73.0017,-64.005
Bathylagus antarcticus,1985-01-16,73,-63
Bathylagus antarcticus,1985-01-16,73.00333,-62.98167
Bathylagus antarcticus,1985-01-16,73.00167,-64.005
Bathylagus antarcticus,1985-01-19,77.9833,-63.0083
Bathylagus antarcticus,1985-01-19,81.7167,-59.34
Bathylagus antarcticus,1985-01-19,77.97,-64
Bathylagus antarcticus,1985-01-19,77.96667,-65.02333
Bathylagus antarcticus,1985-01-19,77.98333,-63.00833
Bathylagus antarcticus,1985-01-20,77.9667,-65.0233
Bathylagus antarcticus,1985-01-21,83.075,-64.9883
Bathylagus antarcticus,1985-01-21,79.8567,-59.3533
Bathylagus antarcticus,1985-01-21,83.075,-64.98833
Bathylagus antarcticus,1985-01-22,82.9967,-62.985
Bathylagus antarcticus,1985-01-22,83.005,-63.9983
Bathylagus antarcticus,1985-01-22,82.98167,-62.985
Bathylagus antarcticus,1985-01-23,82.9983,-59.9983
Bathylagus antarcticus,1985-01-23,79.9017,-63.795
Bathylagus antarcticus,1985-01-23,82.99833,-59.99833
Bathylagus antarcticus,1985-01-23,88.00667,-60.99667
Bathylagus antarcticus,1985-01-23,88.02167,-60.01
Bathylagus antarcticus,1985-01-23,79.9083,-63.7948
Bathylagus antarcticus,1985-01-24,88.0233,-60.9983
Bathylagus antarcticus,1985-01-24,88.01,-63.005
Bathylagus antarcticus,1985-01-24,88.0217,-60.01
Bathylagus antarcticus,1985-01-24,79.0133,-65.7883
Bathylagus antarcticus,1985-01-24,80.1417,-65.0683
Bathylagus antarcticus,1985-01-24,88.01,-63.5
Bathylagus antarcticus,1985-01-25,77.09,-66.1433
Bathylagus antarcticus,1985-01-25,87.9667,-64.965
Bathylagus antarcticus,1985-01-25,87.966,-64.966
Bathylagus antarcticus,1985-01-25,74.73,-66.5583
Bathylagus antarcticus,1985-01-25,87.96667,-64.965
Bathylagus antarcticus,1985-01-25,74.73,-66.5567
Bathylagus antarcticus,1985-01-26,92.9733,-63.9883
Bathylagus antarcticus,1985-01-26,93.0017,-61.9967
Bathylagus antarcticus,1985-01-26,92.97333,-63.98833
Bathylagus antarcticus,1985-01-26,93.00167,-61.99667
Bathylagus antarcticus,1985-01-27,72.445,-66.5817
Bathylagus antarcticus,1985-01-27,-17.62833,-72.425
Bathylagus antarcticus,1985-01-27,-17.55667,-72.41833
Bathylagus antarcticus,1985-01-27,-17.5567,-72.4183
Bathylagus antarcticus,1985-01-27,-17.6283,-72.425
Bathylagus antarcticus,1985-01-28,70.7267,-63.9917
Bathylagus antarcticus,1985-01-30,77.495,-62.9883
Bathylagus antarcticus,1985-01-31,73.1217,-63.0633
Bathylagus antarcticus,1985-02-01,131.34,-49.8433
Bathylagus antarcticus,1985-02-01,68.3,-63.017
Bathylagus antarcticus,1985-02-01,68.517,-62
Bathylagus antarcticus,1985-02-01,73.317,-61.05
Bathylagus antarcticus,1985-02-02,68.3,-63.0233
Bathylagus antarcticus,1985-02-03,68.5667,-61.9983
Bathylagus antarcticus,1985-02-04,38.3183,-68.3417
Bathylagus antarcticus,1985-02-04,75.0717,-62.0167
Bathylagus antarcticus,1985-02-04,75.07,-62.0167
Bathylagus antarcticus,1985-02-05,73.3183,-61.0533
Bathylagus antarcticus,1985-02-05,30.62,-68.5233
Bathylagus antarcticus,1985-02-05,77.5567,-60.9667
Bathylagus antarcticus,1985-02-07,68.3183,-61.03
Bathylagus antarcticus,1985-02-24,34.6933,-65.055
Bathylagus antarcticus,1985-02-26,45.16,-64.935
Bathylagus antarcticus,1985-03-03,52.985,-60.9933
Bathylagus antarcticus,1985-03-03,52.98472,-60.9925
Bathylagus antarcticus,1985-03-04,45.1633,-56.3117
Bathylagus antarcticus,1985-03-07,62.06583,-66.33945
