ScientificName_accepted,Longitude,Latitude,MinimumDepth,MaximumDepth
Abraliopsis gilchristi,147.3,-44.2167,462.5,
Abraliopsis gilchristi,147.1,-44.2,,
Abraliopsis gilchristi,147.067,-44.2,712.5,
Abraliopsis gilchristi,147.1,-44.2,50,
Abraliopsis gilchristi,147.067,-44.2,350,
Abraliopsis gilchristi,147.067,-44.2,50,
Abraliopsis gilchristi,147.283,-44.2,462.5,
Abraliopsis gilchristi,150.133,-44.0167,1250,
Abraliopsis gilchristi,150.45,-43.9333,40.5,
Abraliopsis gilchristi,150.383,-43.9333,940,
Abraliopsis gilchristi,150.217,-43.9333,,
Abraliopsis gilchristi,150.45,-43.9,550,
Abraliopsis gilchristi,148.183,-43.4167,,
Abraliopsis gilchristi,148.25,-43.05,75,
Abraliopsis gilchristi,148.4,-42.75,176.5,
Abraliopsis gilchristi,148.417,-42.7167,80,
Abraliopsis gilchristi,148.417,-42.7167,177.5,
Abraliopsis gilchristi,148.7,-42.7167,190,
Abraliopsis gilchristi,148.4,-42.7167,122.5,
Abraliopsis gilchristi,148.417,-42.7167,309.5,
Abraliopsis gilchristi,148.45,-42.7,155,
Abraliopsis gilchristi,148.4,-42.7,175,
Abraliopsis gilchristi,148.417,-42.7,157.5,
Abraliopsis gilchristi,148.417,-42.7,117.5,
Abraliopsis gilchristi,148.417,-42.7,179,
Abraliopsis gilchristi,148.4,-42.7,79,
Abraliopsis gilchristi,148.4,-42.7,625,
Abraliopsis gilchristi,148.417,-42.7,315.5,
Abraliopsis gilchristi,148.417,-42.7,197.5,
Abraliopsis gilchristi,148.417,-42.7,302.5,
Abraliopsis gilchristi,148.417,-42.7,315,
Abraliopsis gilchristi,148.417,-42.6833,26.5,
Abraliopsis gilchristi,148.417,-42.6833,241,
Abraliopsis gilchristi,148.417,-42.6667,,
Abraliopsis gilchristi,148.45,-42.6667,145,
Abraliopsis gilchristi,148.417,-42.6667,75,
Abraliopsis gilchristi,148.417,-42.6667,37.5,
Abraliopsis gilchristi,148.417,-42.6667,225,
Abraliopsis gilchristi,148.433,-42.65,42.5,
Abraliopsis gilchristi,148.4,-42.6333,210,
Abraliopsis gilchristi,148.767,-42.2167,500,
Abraliopsis gilchristi,148.75,-41.5333,200,
Abraliopsis gilchristi,148.783,-41.4667,550,
Abraliopsis gilchristi,148.75,-41.3333,978.5,
Abraliopsis gilchristi,-35.117,-40.3,,
Abraliopsis gilchristi,144.717,-40.25,,
Abraliopsis gilchristi,-30.583,-40,196,
Abraliopsis gilchristi,-26.033,-39.917,,
Abraliopsis gilchristi,-21.817,-39.883,105,
Abraliopsis gilchristi,-21.733,-39.883,258,
Abraliopsis gilchristi,-21.55,-39.883,702,
Abraliopsis gilchristi,148.733,-39.2833,620,
Abraliopsis gilchristi,149.25,-38.65,,
Abraliopsis gilchristi,-52.15,-38.65,119,
Abraliopsis gilchristi,149.167,-38.4,,
Abraliopsis gilchristi,149.3,-38.3667,,
Abraliopsis gilchristi,149.317,-38.3333,175,
Abraliopsis gilchristi,149.433,-38.3,75,
Abraliopsis gilchristi,1.2,-38.267,105,
Abraliopsis gilchristi,1.25,-38.233,755,
