species,eventDate,decimalLongitude,decimalLatitude
Pleuragramma antarctica,1957-02-07,166.492,-77.8139
Pleuragramma antarctica,1957-12-15,164.813,-77.42
Pleuragramma antarctica,1957-12-15,164.81334,-77.42
Pleuragramma antarctica,1958-01-02,166.45,-77.825
Pleuragramma antarctica,1958-02-04,166.56667,-77.84667
Pleuragramma antarctica,1958-02-07,166.56667,-77.84667
Pleuragramma antarctica,1958-11-11,166.2,-77.7
Pleuragramma antarctica,1958-11-13,166.2,-77.7
Pleuragramma antarctica,1958-11-29,165.91667,-75.25
Pleuragramma antarctica,1958-12-24,166.6,-77.85
Pleuragramma antarctica,1958-12-25,166.6,-77.85
Pleuragramma antarctica,1958-12-26,166.6,-77.85
Pleuragramma antarctica,1958-12-27,166.6,-77.825
Pleuragramma antarctica,1958-12-28,166.6,-77.825
Pleuragramma antarctica,1958-12-29,166.6,-77.85
Pleuragramma antarctica,1958-12-30,166.6,-77.85
Pleuragramma antarctica,1959-01-01,166.6,-77.825
Pleuragramma antarctica,1959-01-03,166.6,-77.825
Pleuragramma antarctica,1959-01-04,166.6,-77.825
Pleuragramma antarctica,1959-01-11,177.2,-77.08333
Pleuragramma antarctica,1959-01-19,166.68727,-77.86046
Pleuragramma antarctica,1959-01-20,166.54804,-77.86086
Pleuragramma antarctica,1959-01-21,166.67,-77.86167
Pleuragramma antarctica,1959-01-24,166.67,-77.86167
Pleuragramma antarctica,1959-01-27,166.67,-77.86167
Pleuragramma antarctica,1959-01-29,166.62167,-77.84667
Pleuragramma antarctica,1959-01-29,166.67,-77.86167
Pleuragramma antarctica,1959-01-30,166.62167,-77.84667
Pleuragramma antarctica,1959-01-31,166.67,-77.86167
Pleuragramma antarctica,1959-02-15,133.05,-65.58333
Pleuragramma antarctica,1962-12-15,170,-75
Pleuragramma antarctica,1963-01-05,-57.96667,-62.45
Pleuragramma antarctica,1963-01-05,-57.85,-62.68333
Pleuragramma antarctica,1967-01-16,171.43333,-73.53333
Pleuragramma antarctica,1967-01-17,169.4,-75
Pleuragramma antarctica,1967-01-18,168.98333,-75.46667
Pleuragramma antarctica,1967-01-18,168.83333,-75.45
Pleuragramma antarctica,1967-01-20,178.38333,-76.03333
Pleuragramma antarctica,1967-01-20,174.96667,-76.55
Pleuragramma antarctica,1967-01-20,178.36667,-76.03333
Pleuragramma antarctica,1967-01-20,174.9,-76.5
Pleuragramma antarctica,1967-01-21,170.81667,-76.5
Pleuragramma antarctica,1967-01-21,168,-76.48333
Pleuragramma antarctica,1967-01-21,170.66667,-76.48333
Pleuragramma antarctica,1967-01-22,166.2,-77.1
